TIME_OUT,TP
5,1.3180813228166617
10,0.5434663105836465
20,0.2615143343857764
30,0.2269080348744141
40,0.13725568605864283
50,0.07168401519289376
60,0.0637801254440772
70,0.05727679948271782
80,0.032673644088677074
90,0.018888030345457982
100,0.02593458376137454
