2.5;0.10315942221443467 / 4.856701758791243E-4;0.10442346784176015 / 3.944977933752064E-4;0.11547465564454014 / 3.804495274620928E-4
12.894736842105264;0.5104428191543002 / 0.0010551989280290774;0.510835977581579 / 0.001011178422928305;0.5161550256710113 / 0.002409399581373206
23.289473684210527;1.0104560047761957 / 0.00271678624786742;0.999977210220724 / 0.0011564457487236446;0.9235818534007697 / 9.140184832411302E-4
33.684210526315795;70.06527456309013 / 0.4930767450684499;1.3612471969909308 / 0.0014284077464219447;1.4371736207834622 / 0.0014416945234418943
44.078947368421055;84.26633509680018 / 0.26080057823489255;1.7935742763313751 / 0.0023853880529165483;1.802377469358851 / 8.745270079628664E-4
54.473684210526315;89.77971336555014 / 0.16299909162910353;33.7884334475116 / 0.6406326799224829;2.200896917060503 / 0.0010908022056197453
64.86842105263158;92.4859471367682 / 0.11596806831067852;79.16778447545268 / 0.19764251793749565;2.5761304592621634 / 5.459025983709509E-4
75.26315789473684;94.00965726037076 / 0.09039757246974034;89.25694087076512 / 0.10098840399014364;3.226668317001403 / 8.012861568253982E-4
85.6578947368421;95.01849486325571 / 0.07292285471147864;90.44526870278864 / 0.0889301360184902;69.7120626979766 / 0.2086813624374173
96.05263157894736;95.8225278427589 / 0.06104726630972834;92.88954406850203 / 0.06468665942023222;85.22052717861686 / 0.09696467532175745
106.44736842105262;96.11729704303475 / 0.05714329054238476;94.11019959687408 / 0.05471718884859911;89.50867714140215 / 0.06929859703957675
116.84210526315788;96.5170183079692 / 0.04870468434137365;94.88441728354361 / 0.046286087428242695;91.98401201540305 / 0.053587623682432195
127.23684210526314;97.08656863511236 / 0.03988281649115777;95.67666260439184 / 0.0382625714069178;93.43210342881484 / 0.04294892808202633
137.6315789473684;97.25711260167655 / 0.036808245316393595;96.17303134061028 / 0.03226035076784228;95.14653592391002 / 0.032903668060882296
148.02631578947367;97.42856833562763 / 0.03367326665504322;96.75779436117696 / 0.028329692588940247;95.23219532650135 / 0.029861725054928456
158.42105263157893;97.68556185352925 / 0.03001756919823606;96.72908480395681 / 0.027135561528822905;95.769690996411 / 0.02701692603096717
168.8157894736842;97.79047228857486 / 0.027166332563311357;97.32929374925371 / 0.02286020940509559;96.34670214457793 / 0.0227676643090291
179.21052631578945;98.16107100277331 / 0.023062384403118585;97.63420874741088 / 0.019042488446714856;96.77346012477754 / 0.020107975841312964
189.6052631578947;98.0657228110675 / 0.022515484026854438;97.66540941788456 / 0.01937548706187897;97.1343288457742 / 0.017715632127902836
199.99999999999997;98.16023357213304 / 0.02210431762233611;97.87342167429495 / 0.01671571463930377;97.20409726519698 / 0.017089632668700006
