Arrival Rate,TIME_OUT=5.0,TIME_OUT=10.0,TIME_OUT=20.0,TIME_OUT=30.0,TIME_OUT=40.0,TIME_OUT=50.0,TIME_OUT=60.0,TIME_OUT=70.0,TIME_OUT=80.0,TIME_OUT=90.0,TIME_OUT=100.0
2.5,37.380218699571145,64.53335197294533,76.16683703187199,79.87825202458687,81.83672618162677,82.69739434638925,83.40338221742671,84.12923992253886,84.52245791885758,84.81971548662987,85.02216427381036
12.894736842105264,86.73102083728863,89.37211665774574,90.79378844064746,91.30475795338828,91.58799689169746,91.50133970293598,91.65211558273076,91.74518295299868,91.81202596307888,91.86201456956782,91.8869097415458
23.289473684210527,91.42247740529584,92.433030398432,93.09684246526503,93.2266491370444,93.36608213145811,93.3139763087101,93.37811998766918,93.41105292059315,93.45206168538759,93.4647324083138,93.4820112254178
33.684210526315795,93.27466191940889,93.8730522261177,94.18498401246877,94.26189427016122,94.3309915044473,94.29899259351956,94.33835541844637,94.35653536131944,94.3835700178526,94.39693757681282,94.3995798211045
44.078947368421055,94.27371994269419,94.68746738260273,94.8876468005514,94.94271040311735,94.98856142154787,94.95806334315908,94.99040679907873,95.00176658857902,95.02164937755798,95.0238920733552,95.03110610495978
54.473684210526315,94.9558216390506,95.27064187333978,95.4130634494933,95.43993383103043,95.4784617865685,95.45729660955693,95.47203809065002,95.48574665907296,95.49513852416231,95.50814572539062,95.50712643177435
64.86842105263158,95.54016189683944,95.70377414270435,95.81568620507285,95.8391622920793,95.86884037793578,95.840717331019,95.8570982208605,95.87265731624775,95.87517895264524,95.8852380573624,95.88924198470771
75.26315789473684,95.93283507756685,96.05836819810149,96.14144215363784,96.15897430974617,96.17814780224957,96.16381178445975,96.17576625770369,96.18469101477494,96.19023306746396,96.19454761008386,96.19356806266408
85.6578947368421,96.24253020931155,96.34564117478867,96.41205626580297,96.42545937111505,96.44078009263696,96.42730085880122,96.43444642617372,96.44538191347027,96.45025716884926,96.45009712192166,96.45657067679812
96.05263157894736,96.50484087306342,96.58454617660149,96.63890791758007,96.65300303961708,96.66909592256613,96.64996197378099,96.6631357588902,96.66536219666524,96.67328324161443,96.67279733032073,96.67816967469412
106.44736842105262,96.72758037050238,96.79307777519611,96.83847005531231,96.84993936697938,96.86062309206565,96.84724275884304,96.85458990249303,96.85982913805753,96.86697384503427,96.86913149197076,96.87075450979111
116.84210526315788,96.92004187365681,96.97759781725809,97.01286415252297,97.02277782527223,97.03149166516704,97.02209994567455,97.02887251511763,97.03363144241783,97.0367761280972,97.03569338543974,97.0371785115388
127.23684210526314,97.09093335276759,97.13435405254627,97.16978286115537,97.17529241688295,97.18547102979296,97.17207805221689,97.17767097030804,97.18473843966741,97.18446640611714,97.18886193010668,97.1902219864471
137.6315789473684,97.23971608629593,97.27900123522076,97.30487654498492,97.30942961742755,97.3208950682191,97.3105154998806,97.31369787105929,97.3175536426865,97.32205026083841,97.32362394359205,97.3224178545089
148.02631578947367,97.37029269688003,97.40637906174285,97.42878005662617,97.43266357310675,97.44294259511287,97.43329117241817,97.43855329385615,97.43948909072016,97.44366000777099,97.44283966264271,97.44401230039475
158.42105263157893,97.49205468811893,97.51927658920835,97.5410478174456,97.54434247663755,97.55361476101065,97.54247215537708,97.54951383760871,97.55220746345141,97.55184714890888,97.55533028088466,97.55642328378691
168.8157894736842,97.59805586739274,97.62371752622421,97.64507084392712,97.64593662077243,97.6543280894498,97.64586575015144,97.64852318977617,97.6527259553841,97.65437434246176,97.65369263122003,97.65668208516452
179.21052631578945,97.6966813422495,97.72106286023862,97.7364782061948,97.74073843495972,97.74656505301553,97.73914185469604,97.74110543497181,97.74317286517493,97.74473046924314,97.74594089214344,97.74691018084022
189.6052631578947,97.78867081905003,97.8086708553268,97.82404977672749,97.82439968689435,97.83139520687436,97.8246001594909,97.82625097272302,97.82821068697248,97.82968269477851,97.83082666724594,97.83174232980797
199.99999999999997,97.87138767847735,97.88918929208464,97.90146051725482,97.90482173716487,97.90800814040526,97.90308396065441,97.90475534749828,97.90661389433932,97.90800965344613,97.91069484769793,97.91156303243623
