2.5;2.4190890813361605 / 0.0028040256892305493;2.3885875081070775 / 0.006222793646568636;2.5008598711078913 / 0.00262969495612575
12.894736842105264;12.804546850751617 / 0.004608612993880712;13.189928163710006 / 0.01298522780710698;12.879408022244364 / 0.007546128457516232
23.289473684210527;23.081673615552784 / 0.01764645268860221;22.839008640433665 / 0.015045188329160908;23.140648058707306 / 0.014724005009430385
33.684210526315795;24.934246805164964 / 0.0011365592142489334;33.237780756665025 / 0.011517479840627232;33.74249311582312 / 0.009100538884126763
44.078947368421055;24.975785825777404 / 3.9337981295162194E-4;43.478411356777066 / 0.012394215873527514;44.448686478411304 / 0.008380201927970177
54.473684210526315;24.937363687598896 / 0.001006803729328709;49.50180210622876 / 0.004744099768466015;55.424083903106904 / 0.009202744787529582
64.86842105263158;24.984546032933007 / 2.4226210249622682E-4;49.925089514202774 / 6.816758844436777E-4;64.0886379457213 / 0.009378274573748513
75.26315789473684;24.986671114602885 / 2.0472005927985037E-4;49.94559325819876 / 5.01874088378429E-4;74.55923760603903 / 0.0028269618814533715
85.6578947368421;24.977396018567458 / 3.3905394128197486E-4;49.9437613699556 / 5.34917180786465E-4;74.90444355702552 / 6.495794050920267E-4
96.05263157894736;24.98551566485835 / 2.106118647304811E-4;49.948839232074675 / 4.722371125751579E-4;74.8732022564785 / 8.39560870161904E-4
106.44736842105262;24.973605613195037 / 3.7667054728984795E-4;49.95322798812724 / 4.316663240402363E-4;74.92437730781904 / 5.030699408621331E-4
116.84210526315788;24.987363724945784 / 1.7713269798491638E-4;49.95458549534543 / 3.9309365747186575E-4;74.47725526506215 / 0.011832079036025789
127.23684210526314;24.987486444371562 / 1.656408727548353E-4;49.71369383920154 / 0.002590169453057456;74.92186401143262 / 4.956572621210853E-4
137.6315789473684;24.988096070958214 / 1.560879027842077E-4;49.890518628579024 / 6.872279722927033E-4;74.8922569958842 / 0.005639344299964932
148.02631578947367;24.78622436810299 / 0.006314309714902322;49.844231538575656 / 0.0012633977544069808;74.47400496232763 / 0.002586335408423679
158.42105263157893;24.9904936479456 / 1.1767564276965459E-4;49.96280422063077 / 0.0010057802075564837;74.62375272086469 / 0.013418361069241769
168.8157894736842;24.986512705586364 / 1.6709941719739163E-4;49.96992135462327 / 2.447155933253953E-4;74.40186445774641 / 0.0027112436331151457
179.21052631578945;24.870382826561695 / 0.0016409624925373123;49.847526951638756 / 0.001489106008705221;74.89350893668797 / 0.005775833336059577
189.6052631578947;24.98638040178769 / 1.626526697258157E-4;49.74308993907357 / 0.00933173878868132;74.93568158421766 / 3.9139182773340053E-4
199.99999999999997;24.98990231898016 / 1.1744627299137278E-4;49.91703351090508 / 0.008203784825653315;74.95054003410435 / 3.0979927954888353E-4
