TIME_OUT,MRT
5,51.18328535712342
10,52.97222789347978
20,54.08340483585694
30,54.36850441790089
40,54.66019720889435
50,54.46502705511376
60,54.659270647115946
70,54.74015587107402
80,54.81896597245627
90,54.79542071777195
100,54.89759586035354
