BLOCK_SIZE,DP_PROB,BLOCK_CALL_RATE,TIME_OUT_CALL_RATE,TP,MRT,U_COMMIT,U_END,U_ORD
1,71.42477503738975,74.29430339088877,0.0,74.89429809717076,7.9989816705919985,99.87672731845872,86.41782229947998,95.59496318970537
2,71.61837498051902,74.84694141316722,0.0,74.80908556633847,8.04666965221688,99.86591653261168,86.78938031293075,96.09859944540266
3,72.00564291420228,77.46752422960095,0.0,74.84477642024599,8.012913103121464,98.26120649872664,86.98329751141053,96.65297686154923
4,75.08479210043566,78.35180676720069,0.0,74.87147013527728,8.234527137652044,99.77157268245917,87.07705802841599,97.33348846245185
5,74.251893649525,74.67425657137407,0.0,74.29292931113955,7.855367830329662,99.8104374220125,87.085492504299,97.51965068994468
6,74.05441792207637,72.58386632664636,0.0,74.8305994645836,8.236934342457944,99.83707853099563,88.23101298386382,97.7418320036209
7,96.75456280237803,0.0,0.0048751884911599356,0.02645176525830163,54.89746585372477,0.04647131687165521,98.89242383032172,99.95895300453962
8,96.75113637246385,0.0,0.006511475802241173,0.05280672721475376,54.82286427210304,0.038788599771303424,98.88952027688096,99.9602001137389
9,96.75113941615683,0.0,0.01595469181283719,0.02793247974679073,54.822857668292436,0.027874247616539883,98.91153566048615,99.95909826582601
10,96.75113775360198,0.0,0.0682178636609827,0.04606255176503805,54.89746650092613,0.04197612863528713,98.90224361652568,99.96012781092551
