TIME_OUT,BLOCK_CALL_RATE,TIME_OUT_CALL_RATE
5,0.0,1.2671707775166718
10,0.0,0.9844883039652244
20,0.0,0.19066850155459866
30,0.0,0.2400172244302236
40,0.0,0.14439845943928345
50,0.0,0.049880472371051435
60,0.0,0.05095693484658448
70,0.0,0.06745132970060758
80,0.0,0.033357292307647037
90,0.0,0.08075903189604886
100,0.0,0.02324201774002543
