2.5;0.692733350026283 / 0.0016207844377743585;0.7030240819409699 / 9.472684242830542E-4;0.6973896158769282 / 0.001326856770744289
12.894736842105264;3.6102757474749056 / 0.0018059589588661495;3.711960728854082 / 0.0027198072851848387;3.6282794517519052 / 0.001955056103251085
23.289473684210527;6.507413523572441 / 0.0020399561742596717;6.550664812306084 / 0.0025319943948964863;6.588181749263701 / 0.0032459611145583267
33.684210526315795;83.67930196661936 / 0.280452923259233;9.582113821434667 / 0.006381963385676315;9.507129480641952 / 0.0024417586486702447
44.078947368421055;93.32296363984833 / 0.11234465914911596;12.746778475403193 / 0.003920203300539882;12.51210979515368 / 0.004950441401319949
54.473684210526315;95.23527311388051 / 0.07768960968466843;75.23007718109176 / 0.24308374206009375;15.586967568759308 / 0.0023719899368028763
64.86842105263158;96.8710564881735 / 0.04923416287286386;90.59849961868001 / 0.08778846496183235;17.77516276986363 / 0.003123071890588136
75.26315789473684;97.71097371836919 / 0.035046583620101046;95.30292136830161 / 0.044068885759884324;35.481371252380974 / 0.4510725429066085
85.6578947368421;98.28709027319664 / 0.02592893945893593;96.43407309472227 / 0.032022033795385596;86.21060581705166 / 0.09623105923319031
96.05263157894736;98.37542335318176 / 0.0235673554639817;97.24842498544163 / 0.025678756106884748;95.4490560824799 / 0.03100127886484927
106.44736842105262;98.58009353668467 / 0.019611377916092465;97.74976444776044 / 0.021055044233122544;95.69555653211017 / 0.028328903003639994
116.84210526315788;98.90339994781559 / 0.015010119899812935;98.17848921387808 / 0.016622254670323855;96.85191488910536 / 0.020694091439040108
127.23684210526314;98.98998701343369 / 0.013618072698704964;98.62961302217046 / 0.011797436646972415;97.67013158614485 / 0.015747257311772955
137.6315789473684;99.09637892242137 / 0.01182756970527521;98.81494723092433 / 0.010369964890941219;98.09820960962209 / 0.012473221763386277
148.02631578947367;99.26242724758578 / 0.009576040324006385;99.0842385356432 / 0.007614380504250562;98.60459232364072 / 0.009132823826774938
158.42105263157893;99.31634646714355 / 0.00892711283093206;99.10062194364332 / 0.008000606206820748;98.86355793126904 / 0.007280220047661601
168.8157894736842;99.33508055761514 / 0.007972200744418956;99.28830225454179 / 0.005933251665908301;98.99499305498975 / 0.006588556653127853
179.21052631578945;99.47720748684279 / 0.0063184380039160715;99.32547201110414 / 0.005302262326338791;99.07503003350148 / 0.005988331970570471
189.6052631578947;99.43668572131543 / 0.007080297782579237;99.4326168384173 / 0.004509398926330732;99.32521954918755 / 0.004259726231566674
199.99999999999997;99.55371960845774 / 0.005309363697037384;99.53462683329732 / 0.003776611761281856;99.37187812553822 / 0.0037344710116400393
